Name,Version,Need Pedigree Review,Reason,Review Level,License Types,Declared License,License Status,Path,Short Name,Previously Declared,Repository URL,Copyright
@webassemblyjs/helper-api-error,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/helper-api-error,helper-api-error,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-buffer,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/helper-buffer,helper-buffer,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-code-frame,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/helper-code-frame/webassemblyjs-helper-code-frame-1.7.10.tgz/webassemblyjs-helper-code-frame-1.7.10.tar/package,helper-code-frame,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-code-frame,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/helper-code-frame,helper-code-frame,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-fsm,1.8.5,false,Exempt - Expected license matched,2,MIT,ISC,Approved,@webassemblyjs/helper-fsm,helper-fsm,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-module-context,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/helper-module-context,helper-module-context,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-wasm-bytecode,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/helper-wasm-bytecode/webassemblyjs-helper-wasm-bytecode-1.7.10.tgz/webassemblyjs-helper-wasm-bytecode-1.7.10.tar/package,helper-wasm-bytecode,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-wasm-bytecode,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/helper-wasm-bytecode,helper-wasm-bytecode,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-wasm-section,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/helper-wasm-section/webassemblyjs-helper-wasm-section-1.7.10.tgz/webassemblyjs-helper-wasm-section-1.7.10.tar/package,helper-wasm-section,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/helper-wasm-section,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/helper-wasm-section,helper-wasm-section,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/ieee754,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/ieee754,ieee754,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/leb128,1.8.5,false,Exempt - Expected license matched,2,Apache-2.0,MIT,Approved,@webassemblyjs/leb128,leb128,,,Copyright 2012 The Obvious Corporation.
@webassemblyjs/utf8,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/utf8,utf8,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wasm-edit,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wasm-edit/webassemblyjs-wasm-edit-1.7.10.tgz/webassemblyjs-wasm-edit-1.7.10.tar/package,wasm-edit,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wasm-edit,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wasm-edit,wasm-edit,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wasm-gen,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wasm-gen/webassemblyjs-wasm-gen-1.7.10.tgz/webassemblyjs-wasm-gen-1.7.10.tar/package,wasm-gen,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wasm-gen,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wasm-gen,wasm-gen,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wasm-opt,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wasm-opt/webassemblyjs-wasm-opt-1.7.10.tgz/webassemblyjs-wasm-opt-1.7.10.tar/package,wasm-opt,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wasm-opt,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wasm-opt,wasm-opt,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wasm-parser,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wasm-parser/webassemblyjs-wasm-parser-1.7.10.tgz/webassemblyjs-wasm-parser-1.7.10.tar/package,wasm-parser,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wasm-parser,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wasm-parser,wasm-parser,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wast-parser,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wast-parser/webassemblyjs-wast-parser-1.7.10.tgz/webassemblyjs-wast-parser-1.7.10.tar/package,wast-parser,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wast-parser,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wast-parser,wast-parser,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wast-printer,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wast-printer/webassemblyjs-wast-printer-1.7.10.tgz/webassemblyjs-wast-printer-1.7.10.tar/package,wast-printer,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/wast-printer,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wast-printer,wast-printer,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@xtuc/ieee754,1.2.0,false,Previously pedigree reviewed,2,BSD-3-Clause,BSD-3-Clause,Approved,@xtuc/ieee754,ieee754,,https://github.com/feross/ieee754,Copyright (c) 2008- Fair Oaks Labs- Inc. All rights reserved.
@xtuc/long,4.2.2,false,Exempt - Version closely related to 4.2.1,2,Apache-2.0,Apache-2.0,Approved,@xtuc/long,long,,https://github.com/dcodeIO/long.js,
abbrev,1.1.1,false,Exempt - Version closely related to 1.1.0,2,ISC KEYWORD MIT UNKNOWN,ISC,Needs Review,fsevents/node_modules/abbrev,abbrev,,https://github.com/isaacs/abbrev-js,Copyright (c) Isaac Z. Schlueter and Contributors
accepts,1.3.7,false,Exempt - Version closely related to 1.3.3,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/accepts,accepts,,,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
ajv,6.10.2,false,Exempt - Version closely related to 6.10.0,2,BSD-2-Clause MIT,MIT,Approved,ajv,ajv,,https://github.com/epoberezkin/ajv,Copyright (c) 2015-2017 Evgeny Poberezkin
ajv-errors,1.0.1,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,ajv-errors,ajv-errors,,https://github.com/epoberezkin/ajv-errors,Copyright (c) 2017 Evgeny Poberezkin
ajv-keywords,3.4.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,ajv-keywords,ajv-keywords,,https://github.com/epoberezkin/ajv-keywords,Copyright (c) 2016 Evgeny Poberezkin
ansi-html,0.0.7,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,ansi-html,ansi-html,,https://github.com/Tjatse/ansi-html,
ansi-regex,2.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,ansi-regex,ansi-regex,,https://github.com/chalk/ansi-regex,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
ansi-regex,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,webpack-dev-server/node_modules/cliui/node_modules/ansi-regex,ansi-regex,,https://github.com/chalk/ansi-regex,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
ansi-regex,4.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,strip-ansi/node_modules/ansi-regex,ansi-regex,,https://github.com/chalk/ansi-regex,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
ansi-styles,3.2.1,false,Exempt - Version closely related to 3.2.0,2,MIT,MIT,Approved,ansi-styles,ansi-styles,,https://github.com/chalk/ansi-styles,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
anymatch,1.3.2,false,Exempt - Version closely related to 1.3.0,2,ISC,ISC,Approved,dustjs-linkedin/node_modules/anymatch,anymatch,,https://github.com/es128/anymatch,Copyright (c) 2014 Elan Shanker
anymatch,2.0.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,anymatch,anymatch,,https://github.com/micromatch/anymatch,Copyright (c) 2014 Elan Shanker
app-module-path,2.2.0,false,Exempt - Expected license matched,3.1,BSD-2-Clause,BSD-2-Clause,Approved,app-module-path,app-module-path,,https://github.com/patrick-steele-idem/app-module-path-node,
aproba,1.2.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,aproba,aproba,,https://github.com/iarna/aproba,Copyright (c) 2015- Rebecca Turner
are-we-there-yet,1.1.5,false,Exempt - Version closely related to 1.1.4,2,ISC,ISC,Approved,are-we-there-yet,are-we-there-yet,,https://github.com/iarna/are-we-there-yet,Copyright (c) 2015- Rebecca Turner
argparse,1.0.10,false,Exempt - Version closely related to 1.0.7,2,MIT,MIT,Approved,argparse,argparse,,https://github.com/nodeca/argparse,Copyright (C) 2012 by Vitaly Puzrin
arr-diff,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/arr-diff,arr-diff,,https://github.com/jonschlinkert/arr-diff,Copyright (c) 2014-2015- Jon Schlinkert.
arr-diff,4.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,arr-diff,arr-diff,,https://github.com/jonschlinkert/arr-diff,Copyright (c) 2014-2017- Jon Schlinkert
arr-flatten,1.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,arr-flatten,arr-flatten,,https://github.com/jonschlinkert/arr-flatten,Copyright (c) 2014-2017- Jon Schlinkert.
arr-union,3.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,arr-union,arr-union,,https://github.com/jonschlinkert/arr-union,Copyright (c) 2014-2016- Jon Schlinkert.
array-flatten,1.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/array-flatten,array-flatten,,https://github.com/blakeembrey/array-flatten,Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)
array-flatten,2.1.2,false,Exempt - Version closely related to 2.1.1,2,MIT,MIT,Approved,array-flatten,array-flatten,,https://github.com/blakeembrey/array-flatten,Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)
array-union,1.0.2,false,Exempt - Version closely related to 1.0.1,2,MIT,MIT,Approved,array-union,array-union,,https://github.com/sindresorhus/array-union,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
array-uniq,1.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,array-uniq,array-uniq,,https://github.com/sindresorhus/array-uniq,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
array-unique,0.2.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/array-unique,array-unique,,https://github.com/jonschlinkert/array-unique,Copyright (c) 2014-2015- Jon Schlinkert.
array-unique,0.3.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,array-unique,array-unique,,https://github.com/jonschlinkert/array-unique,Copyright (c) 2014-2016- Jon Schlinkert
asn1,0.2.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,asn1,asn1,,https://github.com/joyent/node-asn1,Copyright (c) 2011 Mark Cavage- All rights reserved.
asn1.js,4.10.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,asn1.js,asn1.js,,https://github.com/indutny/asn1.js,Copyright Fedor Indutny- 2013.
assert,1.5.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,assert,assert,,https://github.com/browserify/commonjs-assert,Copyright Joyent- Inc. and other Node contributors. All rights reserved.
assert-plus,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,assert-plus,assert-plus,,https://github.com/mcavage/node-assert-plus,Copyright (c) 2012 Mark Cavage
assign-symbols,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,assign-symbols,assign-symbols,,https://github.com/jonschlinkert/assign-symbols,Copyright (c) 2015- Jon Schlinkert.
async,1.5.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,async,async,,https://github.com/caolan/async,Copyright (c) 2010-2014 Caolan McMahon
async,2.6.3,false,Exempt - Version closely related to 2.6.0,2,MIT,MIT,Approved,brotli-webpack-plugin/node_modules/async,async,,https://caolan.github.io/async/,Copyright (c) 2010-2018 Caolan McMahon
async-each,1.0.3,false,Exempt - Version closely related to 1.0.1,2,MIT,MIT,Approved,async-each,async-each,,https://github.com/paulmillr/async-each/,
asynckit,0.4.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,asynckit,asynckit,,https://github.com/alexindigo/asynckit,Copyright (c) 2016 Alex Indigo
atob,2.1.2,false,Exempt - Version closely related to 2.1.0,2,Apache-2.0 CC-BY-3.0 KEYWORD MIT UNKNOWN,Apache-2.0,Needs Review | Needs Legal Approval,atob,atob,,https://git.coolaj86.com/coolaj86/atob.js.git,Copyright (c) 2015 AJ ONeal
aws-sign2,0.7.0,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,aws-sign2,aws-sign2,,https://github.com/mikeal/aws-sign,
aws4,1.8.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,aws4,aws4,,https://github.com/mhart/aws4,Copyright 2013 Michael Hart (michael.hart.au@gmail.com)
balanced-match,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,balanced-match,balanced-match,,https://github.com/juliangruber/balanced-match,Copyright (c) 2013 Julian Gruber &lt;julian@juliangruber.com&gt;
base,0.11.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,base,base,,https://github.com/node-base/base,Copyright (c) 2015-2017- Jon Schlinkert.
basic-auth,2.0.1,false,Exempt - Version closely related to 2.0.0,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/basic-auth,basic-auth,,,Copyright (c) 2013 TJ Holowaychuk
batch,0.6.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,batch,batch,,https://github.com/visionmedia/batch,Copyright (c) 2013 TJ Holowaychuk <tj@vision-media.ca>
bcrypt-pbkdf,1.0.2,false,Exempt - Version closely related to 1.0.0,2,BSD-3-Clause ISC KEYWORD UNKNOWN,BSD-3-Clause,Needs Review,bcrypt-pbkdf,bcrypt-pbkdf,,https://github.com/joyent/node-bcrypt-pbkdf,Copyright 1997 Niels Provos <provos@physnet.uni-hamburg.de> All rights reserved.
beep-boop,1.2.3,true,New version and not exempt,,,,No license information available,github-from-package/example,beep-boop,,,
big.js,3.2.0,false,Previously pedigree reviewed,2,KEYWORD MIT UNKNOWN,MIT,Needs Review,svg-inline-loader/node_modules/big.js,big.js,,https://github.com/MikeMcl/big.js,Copyright (c) 2012 Michael Mclaughlin
big.js,5.2.2,false,Previously pedigree reviewed,2,MIT UNKNOWN,MIT,Needs Review,big.js,big.js,,https://github.com/MikeMcl/big.js,Copyright (c) 2018 Michael Mclaughlin
binary-extensions,1.13.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,binary-extensions,binary-extensions,,https://github.com/sindresorhus/binary-extensions,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
bl,3.0.0,false,Previously pedigree reviewed,2,MIT UNKNOWN,MIT,Needs Review,bl,bl,,https://github.com/rvagg/bl,Copyright (c) 2013-2018 bl contributors
bn.js,4.11.8,false,Exempt - Version closely related to 4.11.6,2,MIT,MIT,Approved,bn.js,bn.js,,https://github.com/indutny/bn.js,Copyright Fedor Indutny- 2015.
body-parser,1.18.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,express/node_modules/body-parser,body-parser,,https://github.com/expressjs/body-parser,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
body-parser,1.19.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/body-parser,body-parser,,,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
bonjour,3.5.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,bonjour,bonjour,,https://github.com/watson/bonjour,Copyright (c) 2015-2016 Thomas Watson Steen
brace-expansion,1.1.11,false,Exempt - Version closely related to 1.1.6,2,MIT,MIT,Approved,brace-expansion,brace-expansion,,https://github.com/juliangruber/brace-expansion,Copyright (c) 2013 Julian Gruber <julian@juliangruber.com>
braces,1.8.5,false,Exempt - Version closely related to 1.8.3,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/braces,braces,,https://github.com/jonschlinkert/braces,Copyright (c) 2014-2016- Jon Schlinkert.
braces,2.3.2,false,Exempt - Version closely related to 2.3.0,2,MIT,MIT,Approved,braces,braces,,https://github.com/micromatch/braces,Copyright (c) 2014-2018- Jon Schlinkert.
brorand,1.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,brorand,brorand,,https://github.com/indutny/brorand,Copyright Fedor Indutny- 2014.
brotli,1.3.2,false,Previously pedigree reviewed,2,Apache-2.0,MIT,Approved,brotli,brotli,,https://github.com/devongovett/brotli.js,/* Copyright 2013 Google Inc. All Rights Reserved.
brotli-webpack-plugin,1.1.0,true,New package and not exempt,,MIT X11,MIT,Approved,brotli-webpack-plugin,brotli-webpack-plugin,,https://github.com/mynameiswhm/brotli-webpack-plugin,Copyright (c) 2016 Ilia Saulenko <hi@mynameiswhm.ru>
browser_field,unknown,true,New package and not exempt,,,,No license information available,resolve/test/resolver/browser_field,browser_field,,,
browserify-aes,1.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,browserify-aes,browserify-aes,,https://github.com/crypto-browserify/browserify-aes,Copyright (c) 2014-2017 browserify-aes contributors
browserify-cipher,1.0.1,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,browserify-cipher,browserify-cipher,,https://github.com/crypto-browserify/browserify-cipher,Copyright (c) 2014-2017 Calvin Metcalf & contributors
browserify-des,1.0.2,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,browserify-des,browserify-des,,https://github.com/crypto-browserify/browserify-des,Copyright (c) 2014-2017 Calvin Metcalf- Fedor Indutny & contributors
browserify-rsa,4.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,browserify-rsa,browserify-rsa,,https://github.com/crypto-browserify/browserify-rsa,Copyright (c) 2014-2015 Calvin Metcalf & contributors
browserify-sign,4.0.4,false,Exempt - Version closely related to 4.0.0,2,ISC,ISC,Approved,browserify-sign,browserify-sign,,https://github.com/crypto-browserify/browserify-sign,Copyright (c) 2014-2015 Calvin Metcalf and browserify-sign contributors
browserify-zlib,0.2.0,false,Previously pedigree reviewed,2,KEYWORD MIT UNKNOWN,MIT,Needs Review,browserify-zlib,browserify-zlib,,https://github.com/devongovett/browserify-zlib,Copyright (c) 2014-2015 Devon Govett <devongovett@gmail.com>
buffer,4.9.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,buffer,buffer,,https://github.com/feross/buffer,Copyright (c) Feross Aboukhadijeh- and other contributors.
buffer-from,1.1.1,false,Exempt - Version closely related to 1.1.0,2,MIT,MIT,Approved,buffer-from,buffer-from,,https://github.com/LinusU/buffer-from,Copyright (c) 2016- 2018 Linus Unnebäck
buffer-indexof,1.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,buffer-indexof,buffer-indexof,,https://github.com/soldair/node-buffer-indexof,Copyright (c) 2013 Ryan Day
buffer-xor,1.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,buffer-xor,buffer-xor,,https://github.com/crypto-browserify/buffer-xor,Copyright (c) 2015 Daniel Cousens
builtin-status-codes,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,builtin-status-codes,builtin-status-codes,,https://github.com/bendrucker/builtin-status-codes,Copyright (c) Ben Drucker <bvdrucker@gmail.com> (bendrucker.me)
bytes,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,bytes,bytes,,https://github.com/visionmedia/bytes.js,Copyright (c) 2012-2014 TJ Holowaychuk <tj@vision-media.ca>
bytes,3.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/bytes,bytes,,,Copyright (c) 2012-2014 TJ Holowaychuk <tj@vision-media.ca>
cacache,11.3.3,false,Exempt - Version closely related to 11.3.2,2,ISC,ISC,Approved,cacache,cacache,,https://github.com/zkat/cacache,Copyright (c) npm- Inc.
cache-base,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,cache-base,cache-base,,https://github.com/jonschlinkert/cache-base,Copyright (c) 2014-2017- Jon Schlinkert.
camelcase,2.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,yargs/node_modules/camelcase,camelcase,,https://github.com/sindresorhus/camelcase,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
camelcase,5.3.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,camelcase,camelcase,,https://github.com/sindresorhus/camelcase,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
carbon-icons,7.0.7,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,carbon-icons,carbon-icons,,https://github.com/carbon-design-system/carbon-icons,
caseless,0.12.0,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,caseless,caseless,,https://github.com/mikeal/caseless,
chalk,2.4.2,false,Exempt - Version closely related to 2.4.0,2,MIT,MIT,Approved,chalk,chalk,,https://github.com/chalk/chalk,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
chokidar,1.5.2,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,dustjs-linkedin/node_modules/chokidar,chokidar,,https://github.com/paulmillr/chokidar,
chownr,1.1.1,false,Previously pedigree reviewed,2,ISC,ISC,Approved,fsevents/node_modules/chownr,chownr,,https://github.com/isaacs/chownr,Copyright (c) Isaac Z. Schlueter and Contributors
chrome-trace-event,1.0.2,false,Exempt - Version closely related to 1.0.0,2,MIT UNKNOWN,MIT,Needs Review,chrome-trace-event,chrome-trace-event,,,Copyright (c) 2015 Joyent Inc. All rights reserved.
cipher-base,1.0.4,false,Exempt - Version closely related to 1.0.3,2,MIT,MIT,Approved,cipher-base,cipher-base,,https://github.com/crypto-browserify/cipher-base,Copyright (c) 2017 crypto-browserify contributors
class-utils,0.3.6,false,Exempt - Version closely related to 0.3.5,2,MIT,MIT,Approved,class-utils,class-utils,,https://github.com/jonschlinkert/class-utils,Copyright (c) 2015- 2017-2018- Jon Schlinkert.
classnames,2.2.6,false,Previously pedigree reviewed,2,MIT,MIT,Approved,classnames,classnames,,https://github.com/JedWatson/classnames,Copyright (c) 2017 Jed Watson
cli,1.0.1,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,cli,cli,,http://github.com/node-js-libs/cli,* Copyright (c) 2010 Chris O'Hara <cohara87@gmail.com>
cliui,3.2.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,cliui,cliui,,https://github.com/yargs/cliui,Copyright (c) 2015- Contributors
cliui,4.1.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,webpack-dev-server/node_modules/cliui,cliui,,https://github.com/yargs/cliui,Copyright (c) 2015- Contributors
cliui,5.0.0,false,Exempt - Expected license matched,2,ISC,ISC,Approved,webpack-cli/node_modules/cliui,cliui,,https://github.com/yargs/cliui,Copyright (c) 2015- Contributors
clone,1.0.4,false,Exempt - Expected license matched,2,MIT,MIT,Approved,clone,clone,,https://github.com/pvorb/node-clone,Copyright © 2011-2015 Paul Vorbach <paul@vorba.ch>
code-point-at,1.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,code-point-at,code-point-at,,https://github.com/sindresorhus/code-point-at,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
collection-visit,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,collection-visit,collection-visit,,https://github.com/jonschlinkert/collection-visit,Copyright (c) 2015- 2017- Jon Schlinkert
color-convert,1.9.3,false,Exempt - Version closely related to 1.9.0,2,MIT,MIT,Approved,color-convert,color-convert,,https://github.com/Qix-/color-convert,Copyright (c) 2011-2016 Heather Arthur <fayearthur@gmail.com>
