Package,Version,License,Download URL,Copyright
ecc-jsbn,0.1.2,MIT,https://github.com/quartzjer/ecc-jsbn,* Copyright (c) 2003-2005  Tom Wu  * All Rights Reserved.
ee-first,1.1.1,MIT,,Copyright (c) 2014 Jonathan Ong me@jongleberry.com
elliptic,6.5.1,MIT,https://github.com/indutny/elliptic,Copyright Fedor Indutny- 2014.
encodeurl,1.0.2,MIT,,Copyright (c) 2016 Douglas Christopher Wilson
end-of-stream,1.4.4,MIT,https://github.com/mafintosh/end-of-stream,Copyright (c) 2014 Mathias Buus
enhanced-resolve,4.1.1,,http://github.com/webpack/enhanced-resolve,Copyright JS Foundation and other contributors
entities,1.1.2,BSD-2-Clause,https://github.com/fb55/entities,Copyright (c) Felix Böhm All rights reserved.
es-abstract,1.16.0,MIT,https://github.com/ljharb/es-abstract,Copyright (C) 2015 Jordan Harband
es-to-primitive,1.2.0,MIT,https://github.com/ljharb/es-to-primitive,Copyright (c) 2015 Jordan Harband
escape-html,1.0.3,MIT,,Copyright (c) 2012-2013 TJ Holowaychuk
escape-string-regexp,1.0.5,MIT,https://github.com/sindresorhus/escape-string-regexp,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
esprima,4.0.1,BSD-2-Clause,http://esprima.org,Copyright JS Foundation and other contributors- https://js.foundation/
estraverse,4.3.0,BSD-2-Clause,https://github.com/estools/estraverse,
etag,1.8.1,MIT,,Copyright (c) 2014-2016 Douglas Christopher Wilson
eventemitter3,4.0.0,MIT,https://github.com/primus/eventemitter3,Copyright (c) 2014 Arnout Kazemier
exit,0.1.2,,https://github.com/cowboy/node-exit,Copyright (c) 2013 "Cowboy" Ben Alman
expand-brackets,0.1.5,MIT,https://github.com/jonschlinkert/expand-brackets,Copyright (c) 2015-2016- Jon Schlinkert.
expand-brackets,2.1.4,MIT,https://github.com/jonschlinkert/expand-brackets,Copyright (c) 2015-2016- Jon Schlinkert
expand-range,1.8.2,MIT,https://github.com/jonschlinkert/expand-range,Copyright (c) 2014-2016- Jon Schlinkert.
express-static-gzip,1.1.3,MIT,https://github.com/tkoenig89/express-static-gzip,Copyright (c) 2016 TK
extend,3.0.2,MIT,https://github.com/justmoon/node-extend,Copyright (c) 2014 Stefan Thomas
extend-shallow,2.0.1,MIT,https://github.com/jonschlinkert/extend-shallow,Copyright (c) 2014-2015- Jon Schlinkert.
extend-shallow,3.0.2,MIT,https://github.com/jonschlinkert/extend-shallow,Copyright (c) 2014-2015- 2017- Jon Schlinkert.
extglob,0.3.2,MIT,https://github.com/jonschlinkert/extglob,Copyright (c) 2015- Jon Schlinkert.
extglob,2.0.4,MIT,https://github.com/micromatch/extglob,Copyright (c) 2015-2017- Jon Schlinkert.
extsprintf,1.3.0,MIT,https://github.com/davepacheco/node-extsprintf,Copyright (c) 2012- Joyent- Inc. All rights reserved.
fast-deep-equal,2.0.1,MIT,https://github.com/epoberezkin/fast-deep-equal,Copyright (c) 2017 Evgeny Poberezkin
fast-json-stable-stringify,2.0.0,MIT,https://github.com/epoberezkin/fast-json-stable-stringify,
file-loader,4.2.0,MIT,https://github.com/webpack-contrib/file-loader,Copyright JS Foundation and other contributors
filename-regex,2.0.1,MIT,https://github.com/regexhq/filename-regex,Copyright (c) 2014-2015- 2017- Jon Schlinkert
fill-range,2.2.4,MIT,https://github.com/jonschlinkert/fill-range,Copyright (c) 2014-2018- Jon Schlinkert.
fill-range,4.0.0,MIT,https://github.com/jonschlinkert/fill-range,Copyright (c) 2014-2017- Jon Schlinkert
finalhandler,1.1.1,MIT,https://github.com/pillarjs/finalhandler,Copyright (c) 2014-2017 Douglas Christopher Wilson <doug@somethingdoug.com>
flatpickr,4.6.1,MIT,https://chmln.github.io/flatpickr,Copyright (c) 2017 Gregory Petrosyan
focus-trap,4.0.2,MIT,https://github.com/davidtheclark/focus-trap,Copyright (c) 2015-2016 David Clark
focus-trap-react,6.0.0,MIT,https://github.com/davidtheclark/focus-trap-react,Copyright (c) 2015 David Clark
follow-redirects,1.5.10,MIT,https://github.com/follow-redirects/follow-redirects,Copyright 2014–present Olivier Lalonde <olalonde@gmail.com>- James Talmage <james@talmage.io>- Ruben Verborgh
for-own,0.1.5,MIT,https://github.com/jonschlinkert/for-own,Copyright (c) 2014-2015- 2017- Jon Schlinkert
forever-agent,0.6.1,Apache-2.0,https://github.com/mikeal/forever-agent,
form-data,2.3.3,MIT,https://github.com/form-data/form-data,Copyright (c) 2012 Felix Geisendörfer (felix@debuggable.com) and contributors
forwarded,0.1.2,MIT,,Copyright (c) 2014-2017 Douglas Christopher Wilson
fragment-cache,0.2.1,MIT,https://github.com/jonschlinkert/fragment-cache,Copyright (c) 2016-2017- Jon Schlinkert
fresh,0.5.2,MIT,,Copyright (c) 2012 TJ Holowaychuk <tj@vision-media.ca>
fs-constants,1.0.0,MIT,https://github.com/mafintosh/fs-constants,Copyright (c) 2018 Mathias Buus
fs-extra,8.1.0,MIT,https://github.com/jprichardson/node-fs-extra,Copyright (c) 2011-2017 JP Richardson
fs.realpath,1.0.0,ISC,https://github.com/isaacs/fs.realpath,Copyright (c) Isaac Z. Schlueter and Contributors
function-bind,1.1.1,MIT,https://github.com/Raynos/function-bind,Copyright (c) 2013 Raynos.
gauge,2.7.4,ISC,https://github.com/iarna/gauge,Copyright (c) 2014- Rebecca Turner
get-value,2.0.6,MIT,https://github.com/jonschlinkert/get-value,Copyright (c) 2014-2016- Jon Schlinkert.
getpass,0.1.7,MIT,https://github.com/arekinath/node-getpass,Copyright Joyent- Inc. All rights reserved.
glob,7.1.3,ISC,https://github.com/isaacs/node-glob,Copyright (c) Isaac Z. Schlueter and Contributors
glob,7.1.5,ISC,https://github.com/isaacs/node-glob,Copyright (c) Isaac Z. Schlueter and Contributors
glob-base,0.3.0,MIT,https://github.com/jonschlinkert/glob-base,Copyright (c) 2015- Jon Schlinkert.
glob-parent,2.0.0,ISC,https://github.com/es128/glob-parent,Copyright (c) 2015 Elan Shanker
glob-parent,3.1.0,ISC,https://github.com/es128/glob-parent,Copyright (c) 2015 Elan Shanker
graceful-fs,4.2.3,ISC,https://github.com/isaacs/node-graceful-fs,Copyright (c) Isaac Z. Schlueter- Ben Noordhuis- and Contributors
har-schema,2.0.0,ISC,https://github.com/ahmadnassri/har-schema,Copyright (c) 2015- Ahmad Nassri
har-validator,5.1.3,MIT,https://github.com/ahmadnassri/node-har-validator,Copyright (c) 2018 Ahmad Nassri <ahmad@ahmadnassri.com>
has,1.0.3,MIT,https://github.com/tarruda/has,Copyright (c) 2013 Thiago de Arruda
has-symbols,1.0.0,MIT,https://github.com/ljharb/has-symbols,Copyright (c) 2016 Jordan Harband
has-unicode,2.0.1,ISC,https://github.com/iarna/has-unicode,Copyright (c) 2014- Rebecca Turner
has-value,0.3.1,MIT,https://github.com/jonschlinkert/has-value,Copyright (c) 2014-2016- Jon Schlinkert.
has-value,1.0.0,MIT,https://github.com/jonschlinkert/has-value,Copyright (c) 2014-2017- Jon Schlinkert
has-values,0.1.4,MIT,https://github.com/jonschlinkert/has-values,Copyright (c) 2014-2016- Jon Schlinkert.
has-values,1.0.0,MIT,https://github.com/jonschlinkert/has-values,Copyright (c) 2014-2017- Jon Schlinkert
http-errors,1.6.3,MIT,https://github.com/jshttp/http-errors,Copyright (c) 2014 Jonathan Ong me@jongleberry.com
http-errors,1.7.2,MIT,,Copyright (c) 2014 Jonathan Ong me@jongleberry.com
http-proxy-middleware,0.18.0,MIT,https://github.com/chimurai/http-proxy-middleware,Copyright (c) 2015 Steven Chim
http-proxy-middleware,0.19.1,MIT,https://github.com/chimurai/http-proxy-middleware,Copyright (c) 2015 Steven Chim
http-signature,1.2.0,MIT,https://github.com/joyent/node-http-signature/,Copyright Joyent- Inc. All rights reserved.
iconv-lite,0.4.23,MIT,https://github.com/ashtuchkin/iconv-lite,Copyright (c) 2011 Alexander Shtuchkin
infer-owner,1.0.4,ISC,https://github.com/npm/infer-owner,Copyright (c) npm- Inc. and Contributors
inflight,1.0.6,ISC,https://github.com/isaacs/inflight,Copyright (c) Isaac Z. Schlueter
inherits,2.0.1,ISC,https://github.com/isaacs/inherits,Copyright (c) Isaac Z. Schlueter
inherits,2.0.3,ISC,,Copyright (c) Isaac Z. Schlueter
inherits,2.0.4,ISC,https://github.com/isaacs/inherits,Copyright (c) Isaac Z. Schlueter
ini,1.3.5,ISC,https://github.com/isaacs/ini,Copyright (c) Isaac Z. Schlueter and Contributors
interpret,1.2.0,MIT,https://github.com/gulpjs/interpret,Copyright (c) 2014-2018 Tyler Kellen <tyler@sleekcode.net>- Blaine Bublitz <blaine.bublitz@gmail.com>- and Eric Schoffstall <yo@contra.io>
invariant,2.2.4,MIT,https://github.com/zertosh/invariant,Copyright (c) 2013-present- Facebook- Inc.
invert-kv,1.0.0,MIT,https://github.com/sindresorhus/invert-kv,
ip,1.1.5,MIT,https://github.com/indutny/node-ip,Copyright Fedor Indutny- 2012.
ipaddr.js,1.9.0,MIT,,Copyright (C) 2011-2017 whitequark <whitequark@whitequark.org>
is-absolute-url,3.0.3,MIT,https://github.com/sindresorhus/is-absolute-url,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
is-accessor-descriptor,0.1.6,MIT,https://github.com/jonschlinkert/is-accessor-descriptor,Copyright (c) 2015- Jon Schlinkert.
is-accessor-descriptor,1.0.0,MIT,https://github.com/jonschlinkert/is-accessor-descriptor,Copyright (c) 2015-2017- Jon Schlinkert.
is-buffer,1.1.6,MIT,https://github.com/feross/is-buffer,Copyright (c) Feross Aboukhadijeh
is-buffer,2.0.4,MIT,https://github.com/feross/is-buffer,Copyright (c) Feross Aboukhadijeh
is-callable,1.1.4,MIT,https://github.com/ljharb/is-callable,Copyright (c) 2015 Jordan Harband
is-data-descriptor,0.1.4,MIT,https://github.com/jonschlinkert/is-data-descriptor,Copyright (c) 2015- Jon Schlinkert.
is-data-descriptor,1.0.0,MIT,https://github.com/jonschlinkert/is-data-descriptor,Copyright (c) 2015-2017- Jon Schlinkert.
is-date-object,1.0.1,MIT,https://github.com/ljharb/is-date-object,Copyright (c) 2015 Jordan Harband
is-descriptor,0.1.6,MIT,https://github.com/jonschlinkert/is-descriptor,Copyright (c) 2015-2017- Jon Schlinkert.
is-descriptor,1.0.2,MIT,https://github.com/jonschlinkert/is-descriptor,Copyright (c) 2015-2017- Jon Schlinkert.
is-dotfile,1.0.3,MIT,https://github.com/jonschlinkert/is-dotfile,Copyright (c) 2015-2017- Jon Schlinkert
is-equal-shallow,0.1.3,MIT,https://github.com/jonschlinkert/is-equal-shallow,Copyright (c) 2015- Jon Schlinkert.
is-extendable,0.1.1,MIT,https://github.com/jonschlinkert/is-extendable,Copyright (c) 2015- Jon Schlinkert.
is-extendable,1.0.1,MIT,https://github.com/jonschlinkert/is-extendable,Copyright (c) 2015-2017- Jon Schlinkert.
is-extglob,1.0.0,MIT,https://github.com/jonschlinkert/is-extglob,Copyright (c) 2014-2015- Jon Schlinkert.
is-extglob,2.1.1,MIT,https://github.com/jonschlinkert/is-extglob,Copyright (c) 2014-2016- Jon Schlinkert
is-fullwidth-code-point,1.0.0,MIT,https://github.com/sindresorhus/is-fullwidth-code-point,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
is-fullwidth-code-point,2.0.0,MIT,https://github.com/sindresorhus/is-fullwidth-code-point,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
is-glob,2.0.1,MIT,https://github.com/jonschlinkert/is-glob,Copyright (c) 2014-2015- Jon Schlinkert.
is-glob,3.1.0,MIT,https://github.com/jonschlinkert/is-glob,Copyright (c) 2014-2016- Jon Schlinkert.
is-glob,4.0.1,MIT,https://github.com/micromatch/is-glob,Copyright (c) 2014-2017- Jon Schlinkert.
is-number,2.1.0,MIT,https://github.com/jonschlinkert/is-number,Copyright (c) 2014-2015- Jon Schlinkert.
is-number,4.0.0,MIT,https://github.com/jonschlinkert/is-number,Copyright (c) 2014-2017- Jon Schlinkert.
is-posix-bracket,0.1.1,MIT,https://github.com/jonschlinkert/is-posix-bracket,Copyright (c) 2015-2016- Jon Schlinkert.
is-primitive,2.0.0,MIT,https://github.com/jonschlinkert/is-primitive,Copyright (c) 2014-2015- Jon Schlinkert.
is-regex,1.0.4,MIT,https://github.com/ljharb/is-regex,Copyright (c) 2014 Jordan Harband
is-stream,1.1.0,MIT,https://github.com/sindresorhus/is-stream,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
is-symbol,1.0.2,MIT,https://github.com/ljharb/is-symbol,Copyright (c) 2015 Jordan Harband
is-typedarray,1.0.0,MIT,https://github.com/hughsk/is-typedarray,
isarray,1.0.0,MIT,https://github.com/juliangruber/isarray,Copyright (c) 2013 Julian Gruber &lt;julian@juliangruber.com&gt;
isexe,2.0.0,ISC,https://github.com/isaacs/isexe,Copyright (c) Isaac Z. Schlueter and Contributors
isobject,2.1.0,MIT,https://github.com/jonschlinkert/isobject,Copyright (c) 2014-2016- Jon Schlinkert.
isstream,0.1.2,MIT,https://github.com/rvagg/isstream,Copyright (c) 2015 Rod Vagg
iterall,1.2.2,MIT,https://github.com/leebyron/iterall,Copyright (c) 2016 Lee Byron
jest-worker,24.9.0,MIT,https://github.com/facebook/jest,Copyright (c) Facebook- Inc. and its affiliates.
js-tokens,4.0.0,MIT,https://github.com/lydell/js-tokens,Copyright (c) 2014- 2015- 2016- 2017- 2018 Simon Lydell
js-yaml,3.13.1,MIT,https://github.com/nodeca/js-yaml,Copyright (C) 2011-2015 by Vitaly Puzrin
jsbn,0.1.1,MIT,https://github.com/andyperlitch/jsbn,* Copyright (c) 2003-2005  Tom Wu  * All Rights Reserved.
json-parse-better-errors,1.0.2,MIT,https://github.com/zkat/json-parse-better-errors,Copyright 2017 Kat Marchán
json-schema,0.2.3,,https://github.com/kriszyp/json-schema,
json-schema-traverse,0.4.1,MIT,https://github.com/epoberezkin/json-schema-traverse,Copyright (c) 2017 Evgeny Poberezkin
json-stringify-safe,5.0.1,ISC,https://github.com/isaacs/json-stringify-safe,Copyright (c) Isaac Z. Schlueter and Contributors
json5,1.0.1,MIT,http://json5.org/,Copyright (c) 2012-2018 Aseem Kishore- and [others].
jsprim,1.4.1,MIT,https://github.com/joyent/node-jsprim,Copyright (c) 2012- Joyent- Inc. All rights reserved.
kind-of,3.2.2,MIT,https://github.com/jonschlinkert/kind-of,Copyright (c) 2014-2017- Jon Schlinkert
kind-of,5.1.0,MIT,https://github.com/jonschlinkert/kind-of,Copyright (c) 2014-2017- Jon Schlinkert.
kind-of,6.0.2,MIT,https://github.com/jonschlinkert/kind-of,Copyright (c) 2014-2017- Jon Schlinkert.
lcid,1.0.0,MIT,https://github.com/sindresorhus/lcid,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
lodash.debounce,4.0.8,MIT,https://lodash.com/,Copyright jQuery Foundation and other contributors <https://jquery.org/>
lodash.isequal,4.5.0,MIT,https://lodash.com/,Copyright JS Foundation and other contributors <https://js.foundation/>
lodash.omit,4.5.0,MIT,https://lodash.com/,Copyright jQuery Foundation and other contributors <https://jquery.org/>
loglevel,1.6.4,MIT,https://github.com/pimterry/loglevel,Copyright (c) 2013 Tim Perry
loose-envify,1.4.0,MIT,https://github.com/zertosh/loose-envify,Copyright (c) 2015 Andres Suarez <zertosh@gmail.com>
map-cache,0.2.2,MIT,https://github.com/jonschlinkert/map-cache,Copyright (c) 2015-2016- Jon Schlinkert.
map-visit,1.0.0,MIT,https://github.com/jonschlinkert/map-visit,Copyright (c) 2015-2017- Jon Schlinkert
marked,0.7.0,MIT,https://marked.js.org,Copyright (c) 2011-2018- Christopher Jeffrey (https://github.com/chjj/)
math-random,1.0.4,MIT,https://github.com/michaelrhodes/math-random,
media-typer,0.3.0,MIT,,Copyright (c) 2014 Douglas Christopher Wilson
memory-fs,0.5.0,MIT,https://github.com/webpack/memory-fs,Copyright JS Foundation and other contributors
merge-descriptors,1.0.1,MIT,,Copyright (c) 2013 Jonathan Ong <me@jongleberry.com>
merge-stream,2.0.0,MIT,https://github.com/grncdr/merge-stream,Copyright (c) Stephen Sugden <me@stephensugden.com> (stephensugden.com)
methods,1.1.2,MIT,,Copyright (c) 2013-2014 TJ Holowaychuk <tj@vision-media.ca>
micromatch,2.3.11,MIT,https://github.com/jonschlinkert/micromatch,Copyright (c) 2014-2015- Jon Schlinkert.
micromatch,3.1.10,MIT,https://github.com/micromatch/micromatch,Copyright (c) 2014-2018- Jon Schlinkert.
mime,1.4.1,MIT,https://github.com/broofa/node-mime,Copyright (c) 2010 Benjamin Thomas- Robert Kieffer
mime,1.6.0,MIT,,Copyright (c) 2010 Benjamin Thomas- Robert Kieffer
mime-db,1.40.0,MIT,,Copyright (c) 2014 Jonathan Ong me@jongleberry.com
mime-types,2.1.24,MIT,,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
